team,season_start,payroll,payroll_real_2023
Philadelphia,2021,148922969,162415018
Miami,2021,140840240,153600014
Indiana,2021,138181486,150700383
Denver,2021,137963926,150463115
Minnesota,2021,137432702,149883767
Boston,2021,136557646,148929426
Phoenix,2021,136476474,148840901
Cleveland,2021,136385911,148742131
Chicago,2021,136083814,148412668
New Orleans,2021,135793968,148096563
Atlanta,2021,135166020,147411722
Toronto,2021,134896484,147117769
Houston,2021,132267085,144250150
Detroit,2021,131120355,142999530
Sacramento,2021,130457848,142277004
Washington,2021,128019790,139618062
San Antonio,2021,127655401,139220659
Orlando,2021,126786646,138273195
Dallas,2021,126696965,138175392
Portland,2021,124788473,136093994
Charlotte,2021,122139566,133205107
New York,2021,120644081,131574134
Memphis,2021,117284457,127910133
Oklahoma City,2021,82022873,89453934
Golden State,2021,178980766,195195980
Brooklyn,2021,174811922,190649447
LA Clippers,2021,168378382,183633046
LA Lakers,2021,164409293,179304361
Milwaukee,2021,160875421,175450332
Utah,2021,149760719,163328668
Philadelphia,2021,148922969,162415018
Miami,2021,140840240,153600014
Indiana,2021,138181486,150700383
Denver,2021,137963926,150463115
Minnesota,2021,137432702,149883767
Boston,2021,136557646,148929426
Phoenix,2021,136476474,148840901
Cleveland,2021,136385911,148742131
Chicago,2021,136083814,148412668
New Orleans,2021,135793968,148096563
Atlanta,2021,135166020,147411722
Toronto,2021,134896484,147117769
Houston,2021,132267085,144250150
Detroit,2021,131120355,142999530
Sacramento,2021,130457848,142277004
Washington,2021,128019790,139618062
San Antonio,2021,127655401,139220659
Orlando,2021,126786646,138273195
Dallas,2021,126696965,138175392
Portland,2021,124788473,136093994
Charlotte,2021,122139566,133205107
New York,2021,120644081,131574134
Memphis,2021,117284457,127910133
Oklahoma City,2021,82022873,89453934
