player_id,player_name,birthdate,country,school,height,weight,season_exp,position,from_year,to_year,draft_year,draft_round,draft_number,greatest_75_flag,birth_year,is_greatest_75,is_usa
76001,Alaa Abdelnaby,1968-06-24,USA,Duke,6-10,240,5.0,Forward,1990.0,1994.0,1990.0,1.0,25.0,N,1968,0,1
76002,Zaid Abdul-Aziz,1946-04-07,USA,Iowa State,6-9,235,10.0,Center,1968.0,1977.0,1968.0,1.0,5.0,N,1946,0,1
76003,Kareem Abdul-Jabbar,1947-04-16,USA,UCLA,7-2,225,20.0,Center,1969.0,1988.0,1969.0,1.0,1.0,Y,1947,1,1
949,Shareef Abdur-Rahim,1976-12-11,USA,California,6-9,245,13.0,Forward,1996.0,2007.0,1996.0,1.0,3.0,N,1976,0,1
76006,Forest Able,1932-07-27,USA,Western Kentucky,6-3,180,1.0,Guard,1956.0,1956.0,1956.0,,,N,1932,0,1
76007,John Abramovic,1919-02-09,USA,Salem,6-3,195,2.0,Forward,1946.0,1947.0,,,,N,1919,0,1
203518,Alex Abrines,1993-08-01,Spain,FC Barcelona,6-6,200,3.0,Guard,2016.0,2018.0,2013.0,2.0,32.0,N,1993,0,0
1630173,Precious Achiuwa,1999-09-19,Nigeria,Memphis,6-8,225,3.0,Forward,2020.0,2023.0,2020.0,1.0,20.0,N,1999,0,0
203112,Quincy Acy,1990-10-06,USA,Baylor,6-7,240,7.0,Forward,2012.0,2018.0,2012.0,2.0,37.0,N,1990,0,1
76011,Alvan Adams,1954-07-19,USA,Oklahoma,6-9,210,13.0,Center,1975.0,1987.0,1975.0,1.0,4.0,N,1954,0,1
1629121,Jaylen Adams,1996-05-04,USA,St. Bonaventure,6-0,225,3.0,Guard,2018.0,2020.0,,,,N,1996,0,1
149,Michael Adams,1963-01-19,USA,Boston College,5-10,165,11.0,Guard,1985.0,1995.0,1985.0,3.0,66.0,N,1963,0,1
203500,Steven Adams,1993-07-20,New Zealand,Pittsburgh,6-11,265,10.0,Center,2013.0,2023.0,2013.0,1.0,12.0,N,1993,0,0
1629061,Deng Adel,1997-02-01,South Sudan,Louisville,6-7,200,2.0,Forward,2018.0,2018.0,2018.0,,,N,1997,0,0
76015,Rick Adelman,1946-06-16,USA,Loyola-Marymount,6-2,175,7.0,Guard,1968.0,1974.0,1968.0,7.0,79.0,N,1946,0,1
201167,Arron Afflalo,1985-10-15,USA,UCLA,6-5,210,12.0,Guard,2007.0,2017.0,2007.0,1.0,27.0,N,1985,0,1
1630534,Ochai Agbaji,2000-04-20,USA,Kansas,6-5,215,1.0,Guard,2022.0,2023.0,2022.0,1.0,14.0,N,2000,0,1
200772,Maurice Ager,1984-02-09,USA,Michigan State,6-5,202,4.0,Forward-Guard,2006.0,2010.0,2006.0,1.0,28.0,N,1984,0,1
76016,Mark Aguirre,1959-12-10,USA,DePaul,6-6,232,13.0,Forward,1981.0,1993.0,1981.0,1.0,1.0,N,1959,0,1
201582,Alexis Ajinca,1988-05-06,France,Hyeres-Toulon,7-2,248,8.0,Center,2008.0,2017.0,2008.0,1.0,20.0,N,1988,0,0
