gameId,teamId,teamCity,teamName,teamTricode,teamSlug,personId,firstName,familyName,nameI,playerSlug,position,comment,jerseyNum,minutes,pointsOffTurnovers,pointsSecondChance,pointsFastBreak,pointsPaint,oppPointsOffTurnovers,oppPointsSecondChance,oppPointsFastBreak,oppPointsPaint,blocks,blocksAgainst,foulsPersonal,foulsDrawn,SEASON,SEASON_TYPE
0041900101,1610612753,Orlando,Magic,ORL,magic,203516,James,Ennis III,J. Ennis III,james-ennis-iii,F,,11,31:20,3,0,0,2,8,8,7,28,1,0,4,3,2019-20,Playoffs
0041900101,1610612753,Orlando,Magic,ORL,magic,1629109,Gary,Clark,G. Clark,gary-clark,F,,12,28:24,3,0,3,0,10,5,9,28,0,0,2,2,2019-20,Playoffs
0041900101,1610612753,Orlando,Magic,ORL,magic,202696,Nikola,Vučević,N. Vučević,nikola-vučević,C,,9,36:31,7,2,3,14,10,7,10,34,0,0,3,2,2019-20,Playoffs
0041900101,1610612753,Orlando,Magic,ORL,magic,203095,Evan,Fournier,E. Fournier,evan-fournier,G,,10,35:33,6,3,0,0,12,7,10,34,0,0,4,0,2019-20,Playoffs
0041900101,1610612753,Orlando,Magic,ORL,magic,1628365,Markelle,Fultz,M. Fultz,markelle-fultz,G,,20,29:22,0,0,2,4,10,5,10,28,1,0,3,1,2019-20,Playoffs
0041900101,1610612753,Orlando,Magic,ORL,magic,203082,Terrence,Ross,T. Ross,terrence-ross,,,31,28:28,4,0,2,10,7,7,1,24,0,1,5,3,2019-20,Playoffs
0041900101,1610612753,Orlando,Magic,ORL,magic,1628411,Wes,Iwundu,W. Iwundu,wes-iwundu,,,25,12:27,0,0,2,2,2,3,0,8,0,0,2,1,2019-20,Playoffs
0041900101,1610612753,Orlando,Magic,ORL,magic,201571,D.J.,Augustin,D. Augustin,dj-augustin,,,14,23:28,2,2,0,4,7,5,3,16,0,1,0,5,2019-20,Playoffs
0041900101,1610612753,Orlando,Magic,ORL,magic,203920,Khem,Birch,K. Birch,khem-birch,,,24,14:27,0,2,0,2,4,3,0,10,0,1,3,2,2019-20,Playoffs
0041900101,1610612753,Orlando,Magic,ORL,magic,1628982,Melvin,Frazier Jr.,M. Frazier Jr.,melvin-frazier-jr,,DNP - Coach's Decision,35,,0,0,0,0,0,0,0,0,0,0,0,0,2019-20,Playoffs
0041900101,1610612753,Orlando,Magic,ORL,magic,1629168,BJ,Johnson,B. Johnson,bj-johnson,,DNP - Coach's Decision,13,,0,0,0,0,0,0,0,0,0,0,0,0,2019-20,Playoffs
0041900101,1610612753,Orlando,Magic,ORL,magic,1629724,Vic,Law,V. Law,vic-law,,DNP - Coach's Decision,23,,0,0,0,0,0,0,0,0,0,0,0,0,2019-20,Playoffs
0041900101,1610612749,Milwaukee,Bucks,MIL,bucks,203114,Khris,Middleton,K. Middleton,khris-middleton,F,,22,31:16,0,3,2,0,20,5,8,24,1,0,4,4,2019-20,Playoffs
0041900101,1610612749,Milwaukee,Bucks,MIL,bucks,203507,Giannis,Antetokounmpo,G. Antetokounmpo,giannis-antetokounmpo,F,,34,34:27,4,2,1,16,19,7,12,28,0,1,5,8,2019-20,Playoffs
0041900101,1610612749,Milwaukee,Bucks,MIL,bucks,201572,Brook,Lopez,B. Lopez,brook-lopez,C,,11,29:39,2,0,0,4,20,4,10,24,1,1,2,2,2019-20,Playoffs
0041900101,1610612749,Milwaukee,Bucks,MIL,bucks,202083,Wesley,Matthews,W. Matthews,wesley-matthews,G,,9,25:45,0,5,3,4,16,2,10,22,0,0,0,1,2019-20,Playoffs
0041900101,1610612749,Milwaukee,Bucks,MIL,bucks,202339,Eric,Bledsoe,E. Bledsoe,eric-bledsoe,G,,6,27:45,4,0,4,8,20,7,10,24,1,0,1,4,2019-20,Playoffs
0041900101,1610612749,Milwaukee,Bucks,MIL,bucks,201588,George,Hill,G. Hill,george-hill,,,3,26:47,2,0,0,6,10,7,4,22,0,0,1,4,2019-20,Playoffs
0041900101,1610612749,Milwaukee,Bucks,MIL,bucks,1628978,Donte,DiVincenzo,D. DiVincenzo,donte-divincenzo,,,0,12:43,2,0,0,2,0,2,2,8,0,0,0,0,2019-20,Playoffs
0041900101,1610612749,Milwaukee,Bucks,MIL,bucks,101107,Marvin,Williams,M. Williams,marvin-williams,,,20,16:20,0,0,0,0,4,2,2,10,0,0,2,0,2019-20,Playoffs
0041900101,1610612749,Milwaukee,Bucks,MIL,bucks,1626192,Pat,Connaughton,P. Connaughton,pat-connaughton,,,24,22:20,0,0,0,0,10,7,2,18,0,0,3,1,2019-20,Playoffs
0041900101,1610612749,Milwaukee,Bucks,MIL,bucks,201577,Robin,Lopez,R. Lopez,robin-lopez,,,42,2:25,0,0,0,2,0,0,0,0,0,0,0,0,2019-20,Playoffs
0041900101,1610612749,Milwaukee,Bucks,MIL,bucks,2594,Kyle,Korver,K. Korver,kyle-korver,,,26,10:09,0,0,0,0,6,2,0,10,0,0,1,2,2019-20,Playoffs
0041900101,1610612749,Milwaukee,Bucks,MIL,bucks,1628412,Frank,Mason III,F. Mason III,frank-mason-iii,,,15,0:25,0,0,0,0,0,0,0,0,0,0,0,0,2019-20,Playoffs
0041900101,1610612749,Milwaukee,Bucks,MIL,bucks,1628425,Sterling,Brown,S. Brown,sterling-brown,,DNP - Coach's Decision,23,,0,0,0,0,0,0,0,0,0,0,0,0,2019-20,Playoffs
0041900102,1610612753,Orlando,Magic,ORL,magic,203516,James,Ennis III,J. Ennis III,james-ennis-iii,F,,11,25:26,0,4,2,4,11,6,4,20,0,0,4,2,2019-20,Playoffs
0041900102,1610612753,Orlando,Magic,ORL,magic,1629109,Gary,Clark,G. Clark,gary-clark,F,,12,29:32,0,0,0,0,6,14,6,28,1,0,2,0,2019-20,Playoffs
0041900102,1610612753,Orlando,Magic,ORL,magic,202696,Nikola,Vučević,N. Vučević,nikola-vučević,C,,9,34:52,8,6,2,10,11,11,4,28,1,0,2,3,2019-20,Playoffs
0041900102,1610612753,Orlando,Magic,ORL,magic,203095,Evan,Fournier,E. Fournier,evan-fournier,G,,10,35:04,2,0,2,2,11,11,4,28,0,0,0,5,2019-20,Playoffs
0041900102,1610612753,Orlando,Magic,ORL,magic,1628365,Markelle,Fultz,M. Fultz,markelle-fultz,G,,20,25:51,2,0,2,0,6,8,4,22,1,2,5,2,2019-20,Playoffs
0041900102,1610612753,Orlando,Magic,ORL,magic,203920,Khem,Birch,K. Birch,khem-birch,,,24,18:08,0,2,0,4,0,9,2,18,0,0,1,2,2019-20,Playoffs
