Rk,Unnamed: 1,Salary,Team,Season
1,Buddy Hield,"$24,701,834",SAC,2021
2,Harrison Barnes,"$22,215,909",SAC,2021
3,Delon Wright,"$9,000,000",SAC,2021
4,Marvin Bagley,"$8,963,640",SAC,2021
5,De'Aaron Fox,"$8,099,627",SAC,2021
6,Jabari Parker,"$6,500,000",SAC,2021
7,Richaun Holmes,"$5,005,350",SAC,2021
8,Tyrese Haliburton,"$3,831,840",SAC,2021
9,Maurice Harkless,"$3,623,000",SAC,2021
10,Mfiondu Kabengele,"$2,075,880",SAC,2021
11,Hassan Whiteside,"$1,620,564",SAC,2021
12,Terence Davis,"$1,517,981",SAC,2021
13,Justin James,"$1,517,981",SAC,2021
14,Chris Silva,"$1,517,981",SAC,2021
15,Robert Woodard,"$1,500,000",SAC,2021
16,Jahmi'us Ramsey,"$1,000,000",SAC,2021
17,Glenn Robinson,"$930,930",SAC,2021
18,Chimezie Metu,"$750,000",SAC,2021
19,Damian Jones,"$459,961",SAC,2021
20,Norvel Pelle,"$99,020",SAC,2021
21,Louis King,$0,SAC,2021
22,Kyle Guy,$0,SAC,2021
