Rk,Unnamed: 1,Salary,Team,Season
1,Stephen Curry,"$55,761,216",GSW,2025
2,Jimmy Butler,"$48,798,677",GSW,2025
3,Draymond Green,"$24,107,143",GSW,2025
4,Gary Payton,"$9,130,000",GSW,2025
5,Buddy Hield,"$8,780,488",GSW,2025
6,Kevon Looney,"$8,000,000",GSW,2025
7,Jonathan Kuminga,"$7,636,307",GSW,2025
8,Moses Moody,"$5,803,269",GSW,2025
9,Brandin Podziemski,"$3,519,960",GSW,2025
10,Gui Santos,"$1,891,857",GSW,2025
11,Trayce Jackson-Davis,"$1,891,857",GSW,2025
12,Quinten Post,"$438,920",GSW,2025
13,Pat Spencer,"$438,810",GSW,2025
14,Kevin Knox,"$263,939",GSW,2025
15,Kevin Knox,"$119,972",GSW,2025
16,Kevin Knox,"$119,972",GSW,2025
17,Yuri Collins,"$66,503",GSW,2025
18,Braxton Key,"$11,997",GSW,2025
19,Taran Armstrong,,GSW,2025
20,Jackson Rowe,,GSW,2025
21,Braxton Key,,GSW,2025
22,Pat Spencer,,GSW,2025
23,Quinten Post,,GSW,2025
24,Daeqwon Plowden,,GSW,2025
