Rk,Unnamed: 1,Salary,Team,Season
1,Khris Middleton,"$31,000,000",WAS,2025
2,Jordan Poole,"$29,651,786",WAS,2025
3,Malcolm Brogdon,"$22,500,000",WAS,2025
4,Marcus Smart,"$20,210,284",WAS,2025
5,Richaun Holmes,"$12,648,321",WAS,2025
6,Alex Sarr,"$11,245,680",WAS,2025
7,Bilal Coulibaly,"$6,945,240",WAS,2025
8,Saddiq Bey,"$6,440,678",WAS,2025
9,Corey Kispert,"$5,705,887",WAS,2025
10,Bub Carrington,"$4,454,880",WAS,2025
11,Kyshawn George,"$2,825,520",WAS,2025
12,AJ Johnson,"$2,795,294",WAS,2025
13,Anthony Gill,"$2,237,691",WAS,2025
14,Colby Jones,"$2,120,693",WAS,2025
15,Alex Len,"$2,087,519",WAS,2025
16,Reggie Jackson,"$2,087,519",WAS,2025
17,Sidy Cissoko,"$1,891,857",WAS,2025
18,Justin Champagnie,"$1,800,000",WAS,2025
19,Ryan Rollins,"$600,000",WAS,2025
20,Jaylen Nowell,"$167,961",WAS,2025
21,Jalen McDaniels,"$119,972",WAS,2025
22,Erik Stevenson,"$66,503",WAS,2025
23,Tristan Vukcevic,,WAS,2025
24,JT Thor,,WAS,2025
25,RayJ Dennis,,WAS,2025
26,Justin Champagnie,,WAS,2025
27,Jaylen Martin,,WAS,2025
