Rk,Unnamed: 1,Salary,Team,Season
1,Nikola JokiÄ,"$47,607,350",DEN,2024
2,Jamal Murray,"$33,833,400",DEN,2024
3,Michael Porter,"$33,386,850",DEN,2024
4,Aaron Gordon,"$22,266,182",DEN,2024
5,Kentavious Caldwell-Pope,"$14,704,938",DEN,2024
6,Reggie Jackson,"$5,000,000",DEN,2024
7,Zeke Nnaji,"$4,306,281",DEN,2024
8,Christian Braun,"$2,949,120",DEN,2024
9,Julian Strawther,"$2,431,080",DEN,2024
10,Peyton Watson,"$2,303,520",DEN,2024
11,Vlatko ÄanÄar,"$2,234,359",DEN,2024
12,DeAndre Jordan,"$2,019,706",DEN,2024
13,Justin Holiday,"$2,019,706",DEN,2024
14,Jalen Pickett,"$1,708,143",DEN,2024
15,Hunter Tyson,"$1,119,563",DEN,2024
16,Braxton Key,,DEN,2024
17,Jay Huff,,DEN,2024
18,Collin Gillespie,,DEN,2024
