Rk,Unnamed: 1,Salary,Team,Season
1,Anthony Davis,"$43,219,440",DAL,2025
2,Kyrie Irving,"$41,000,000",DAL,2025
3,Klay Thompson,"$15,873,016",DAL,2025
4,P.J. Washington,"$15,500,000",DAL,2025
5,Daniel Gafford,"$13,394,160",DAL,2025
6,Caleb Martin,"$9,186,594",DAL,2025
7,Naji Marshall,"$8,571,429",DAL,2025
8,Max Christie,"$7,142,857",DAL,2025
9,Dereck Lively,"$5,014,560",DAL,2025
10,Dwight Powell,"$4,000,000",DAL,2025
11,Dante Exum,"$3,150,000",DAL,2025
12,Olivier-Maxence Prosper,"$2,870,400",DAL,2025
13,JaVale McGee,"$2,208,856",DAL,2025
14,Spencer Dinwiddie,"$2,087,519",DAL,2025
15,Jaden Hardy,"$2,019,699",DAL,2025
16,Moses Brown,"$119,972",DAL,2025
17,Brandon Williams,"$47,989",DAL,2025
18,Kessler Edwards,,DAL,2025
19,A.J. Lawson,,DAL,2025
20,Kylor Kelley,,DAL,2025
21,Jazian Gortman,,DAL,2025
22,Kai Jones,,DAL,2025
23,Brandon Williams,,DAL,2025
