Rk,Unnamed: 1,Salary,Team,Season
1,De'Aaron Fox,"$37,096,620",SAS,2026
2,Devin Vassell,"$27,000,000",SAS,2026
3,Harrison Barnes,"$19,000,000",SAS,2026
4,Keldon Johnson,"$17,500,000",SAS,2026
5,Kelly Olynyk,"$13,445,122",SAS,2026
6,Victor Wembanyama,"$13,376,880",SAS,2026
7,Dylan Harper,"$12,370,320",SAS,2026
8,Luke Kornet,"$11,000,000",SAS,2026
9,Stephon Castle,"$9,560,520",SAS,2026
10,Jeremy Sochan,"$7,096,231",SAS,2026
11,Carter Bryant,"$4,900,320",SAS,2026
12,Julian Champagnie,"$3,000,000",SAS,2026
13,Jordan McLaughlin,"$2,296,274",SAS,2026
14,Lindy Waters III,"$2,296,274",SAS,2026
15,Bismack Biyombo,"$2,296,274",SAS,2026
16,Mason Plumlee,"$593,864",SAS,2026
17,Mason Plumlee,"$131,970",SAS,2026
