Rk,Unnamed: 1,Salary,Team,Season
1,Lauri Markkanen,"$46,394,100",UTA,2026
2,Jaren Jackson Jr.,"$35,000,000",UTA,2026
3,Jusuf NurkiÄ,"$19,375,000",UTA,2026
4,Jordan Clarkson,"$10,651,561",UTA,2026
5,Lonzo Ball,"$10,000,000",UTA,2026
6,Ace Bailey,"$9,069,840",UTA,2026
7,John Konchar,"$6,165,000",UTA,2026
8,Cody Williams,"$5,742,480",UTA,2026
9,Walker Kessler,"$4,878,938",UTA,2026
10,Keyonte George,"$4,278,960",UTA,2026
11,Kevin Love,"$4,150,000",UTA,2026
12,Svi Mykhailiuk,"$3,675,000",UTA,2026
13,Kyle Filipowski,"$3,000,000",UTA,2026
14,Brice Sensabaugh,"$2,693,760",UTA,2026
15,Isaiah Collier,"$2,638,200",UTA,2026
16,Vince Williams Jr.,"$2,301,587",UTA,2026
17,Chris Boucher,"$2,296,274",UTA,2026
18,Mo Bamba,"$131,970",UTA,2026
19,Mo Bamba,"$131,970",UTA,2026
